,Country Name,Country Code,Year,15_to_19_women_rate,20_to_24_women_rate,25_to_29_women_rate,30_to_34_women_rate,35_to_39_women_rate,40_to_44_women_rate
0,Afghanistan,AFG,2000,9.89889942381122,8.40455979573872,7.02239137311269,5.75070308107671,4.65441368995515,3.75487494732739
1,Albania,ALB,2000,9.69977481085171,7.94067546772091,7.35694754956436,7.26626108104503,7.16837578976695,6.66558009111029
2,Algeria,DZA,2000,12.1738698144347,10.5056950530292,8.86357422565493,7.54835465559525,6.11610795084084,4.97316404997527
3,American Samoa,ASM,2000,8.55907881842363,7.60009799804004,7.45135097298054,7.51959960800784,7.19235615287694,5.75388492230155
4,Andorra,AND,2000,5.15843078083742,6.16591223437697,8.70269080849994,10.2209857915252,10.1313969571231,8.61153024016095
5,Angola,AGO,2000,10.2667948067415,8.44194991397071,7.11465209088304,6.26098449494302,5.29865085385046,4.23752008783939
6,Antigua and Barbuda,ATG,2000,8.22567457072772,8.17787282219007,8.64582678155859,9.44587709918863,8.63827913705265,7.13000817661488
7,Argentina,ARG,2000,8.56460405487421,8.33760066775845,7.40075533682015,6.46934906110837,6.10874023178678,5.83015097156854
8,Armenia,ARM,2000,8.93142155599316,7.39401434371208,6.80824000990294,6.90239566184337,8.51419451020822,8.17091059787793
9,Aruba,ABW,2000,6.68921620540973,5.84306817813415,7.20468569329025,8.43122210575229,9.99924354582491,9.40704799161417
10,Australia,AUS,2000,6.72008736254485,6.60620270310753,7.47997428474891,7.48361717427218,7.8369670199504,7.56901631649174
11,Austria,AUT,2000,5.73857360640314,5.60152615041227,6.77208090550689,8.15692870570603,8.29595867759903,7.29725420338703
12,Azerbaijan,AZE,2000,9.53725032872173,8.4189087437922,7.99795684090927,8.58329017972864,8.83862628704034,7.36423660440596
13,"Bahamas, The",BHS,2000,8.54122087091561,8.22250512382965,8.80094862326234,8.72119444670164,8.61856737422165,7.10143226462737
14,Bahrain,BHR,2000,9.95283883489824,9.63026537363189,9.5608855266787,9.6758333718777,8.52755407773627,6.24161660182649
15,Bangladesh,BGD,2000,11.4097175930473,10.0694475952779,8.73252225251892,7.02203251012568,5.73525803815963,4.99726603081892
16,Barbados,BRB,2000,7.13948779726699,6.97475271595173,7.77955978722323,7.76214286232647,8.5517101243133,8.11302132847595
17,Belarus,BLR,2000,7.47971815782264,6.88283048309726,6.60219662841468,6.48748811070718,7.57107246303801,7.91813668611847
18,Belgium,BEL,2000,5.72317149562062,5.97028413759337,6.50213590089489,7.09768671032177,7.64455284022722,7.37468509153473
19,Belize,BLZ,2000,11.154998065048,9.64741810105497,8.41788232126933,7.09454343546514,6.0290579307792,4.6665993639897
20,Benin,BEN,2000,10.47690068106,8.60652138066093,7.27851382831213,6.15715039362538,5.11873076567829,4.05974164031259
21,Bermuda,BMU,2000,5.52430886558627,5.32411820781697,7.38639974578964,8.59866539561487,9.63457260883381,9.11661900222434
22,Bhutan,BTN,2000,11.1873249648153,9.43803932160983,7.75610224187197,6.4171275038028,5.32355742575665,4.50080320714215
23,Bolivia,BOL,2000,10.2454965070154,8.9587943030608,7.65074150973121,6.48270202524919,5.59438347821793,4.73344682692149
24,Bosnia and Herzegovina,BIH,2000,8.46136921234227,8.4017385162444,7.36718214246341,6.55718100263655,7.10280303978743,7.24726675125054
25,Botswana,BWA,2000,12.2462442803731,10.6640953653587,8.338901111756,7.00679606408682,5.86826973693091,4.67788995820229
26,Brazil,BRA,2000,10.0176108252688,9.24654130017119,8.33719871201368,7.75753951660964,7.34551583960183,6.37131872117656
27,British Virgin Islands,VGB,2000,7.54359944765509,7.33391295453383,7.67145706541196,9.4768066281389,10.0496087556897,9.06766225131693
28,Brunei Darussalam,BRN,2000,10.7673564964243,9.11777735586355,8.62160622745396,8.56939434213025,7.80267071704323,6.69704449085501
29,Bulgaria,BGR,2000,6.51801975497652,7.05077638115865,6.81445641402801,6.47793401630026,6.580853316225,6.81114374002325
30,Burkina Faso,BFA,2000,10.9499444044077,8.87601412013655,6.91131877188035,5.70475267297341,4.7776483006416,3.94548001285819
31,Burundi,BDI,2000,12.5429004883551,9.03124373473305,6.39029123302952,4.8888756340216,3.96058557644204,3.58555957851188
32,Cabo Verde,CPV,2000,11.8496601020224,9.64631520897627,7.46990762834993,6.42571558864391,5.54887425365616,4.18758550475645
33,Cambodia,KHM,2000,11.2938188487441,6.27449255809206,7.39862074919377,7.59101547774698,6.87570985719527,6.00669616740808
34,Cameroon,CMR,2000,11.0936809148163,8.99590823346923,7.31901856266581,5.94165380447082,4.74057495182801,3.75423541603244
35,Canada,CAN,2000,6.57624269085361,6.53088072290981,6.61538167073738,7.25184681211137,8.58073234434517,8.41064917223769
36,Cayman Islands,CYM,2000,5.46035362290129,6.34193452528354,10.8067951067307,12.5996731216879,11.7106631667575,9.40765687682631
37,Central African Republic,CAF,2000,10.8532747445662,8.52126697316941,7.21409876952885,6.57199514020092,5.66538570641033,4.64418563576127
38,Chad,TCD,2000,9.7644980627699,8.56630747028574,7.44160612583997,5.94760202148476,4.77401634291896,3.73079692555513
39,Channel Islands,CHI,2000,5.41560115109067,6.17008633179988,7.35322592491203,8.53235940202042,8.41417897990933,7.61429115115743
40,Chile,CHL,2000,8.31164052762876,8.07425496912732,8.02035254914364,7.97962311158662,7.60710282033877,6.8602950515028
41,China,CHN,2000,8.37829334460667,7.5527207833719,9.54806226926301,9.93225522066627,8.29418292995104,6.61902044688783
42,Colombia,COL,2000,9.797001314392,8.94777686037012,8.16893895144711,8.03267833870534,7.54550043450954,6.35185392173541
43,Comoros,COM,2000,11.2762198915652,8.69737504814387,6.81957900038515,5.67912481853465,5.02714573519391,4.16537048558647
44,"Congo, Dem. Rep.",COD,2000,9.95128777091399,8.03454512285717,6.9999113790572,6.0597401972413,5.03649272926896,4.16314015181416
45,"Congo, Rep.",COG,2000,10.6918606376778,9.48913406591741,8.10914496563684,6.97556783054536,5.589611039155,4.29358009051945
46,Costa Rica,CRI,2000,9.61263025609295,8.56501636406594,7.81187471130793,7.7971270680218,7.62966669314328,6.5437038693465
47,Cote d'Ivoire,CIV,2000,10.9429176079721,10.2517386464434,8.32450099859703,6.47038896005576,4.94611945686213,3.73828942855665
48,Croatia,HRV,2000,6.46950092421442,6.59441361850661,6.35754668001549,6.5471459277912,6.90416919634779,7.28787038336718
49,Cuba,CUB,2000,6.52155774005128,6.52103341768596,9.14948855517277,9.87708527750711,9.42894333584918,6.59310062279553
50,Curacao,CUW,2000,6.84367766060582,5.25756946230602,5.63678452011159,7.61331935183903,8.9732175243522,8.72062732063128
51,Cyprus,CYP,2000,8.17496200365276,8.39634128170088,7.78041729993912,7.58713616102788,7.45654367344854,6.99037000140491
52,Czechia,CZE,2000,6.46044823267183,8.09592701662241,7.79746891842951,6.37946687494978,6.33801462577016,6.57157148770732
53,Denmark,DNK,2000,5.08740768058984,6.08165801328407,7.02769822985191,7.40651051328592,7.40210421234964,6.8055503099592
54,Djibouti,DJI,2000,10.5647987456362,9.81030427703214,8.61959675419964,7.06933174304304,5.64825548281615,4.50123627202005
55,Dominica,DMA,2000,9.30201970011399,6.41130564405343,7.77189957033876,7.94142577382866,6.85265834624266,5.64843772834887
56,Dominican Republic,DOM,2000,10.4379621236174,9.43415665425998,8.26516455471693,7.35901517326872,6.70808524118576,5.60217776514215
57,Ecuador,ECU,2000,10.2947650854236,9.15118875236569,8.10258917764707,7.22217612512912,6.31091327613733,5.36875303520272
58,"Egypt, Arab Rep.",EGY,2000,10.8076485617971,9.20853321677949,7.70735857263175,6.84176894100384,6.05228035644472,5.17583617563396
59,El Salvador,SLV,2000,10.2831294514429,9.44914737724957,8.15778478509639,7.11547716812595,6.1108879841861,5.06374010477954
60,Equatorial Guinea,GNQ,2000,9.10107921197775,7.72015364252467,7.15652258503843,6.79084040574362,6.18284403750859,5.19280486043352
61,Eritrea,ERI,2000,10.428654470403,8.65015969224137,7.34490421731207,6.16105076841686,5.0914964697891,4.13611885805352
62,Estonia,EST,2000,6.62867639664524,6.3989916935392,6.52590154262843,6.28455159190405,6.75364203779808,7.06551980745637
63,Eswatini,SWZ,2000,12.3816551700888,9.6218209605433,7.22242928340391,6.01102772476387,5.22908562406471,4.31098258750728
64,Ethiopia,ETH,2000,9.92644130977973,8.44847499167278,7.03526865775322,6.08295853595946,5.03284579010442,3.94691566028469
65,Faroe Islands,FRO,2000,6.86941533995555,5.79443915271919,5.34086270240849,6.95332698326303,6.81498616591827,6.78550369664807
66,Fiji,FJI,2000,11.0308331072842,9.54049701492902,7.49493527662309,7.1361891286232,6.90268644169275,6.19631332126109
67,Finland,FIN,2000,6.12028842111778,6.04930766403498,5.62704574390928,6.51466369611632,7.02700061207224,7.14098114198642
68,France,FRA,2000,6.32172995581556,6.15443074689309,6.85172512381969,6.95660760456246,7.16004995721646,7.04938444106599
69,French Polynesia,PYF,2000,9.94406822275438,7.90752502916119,8.24715498089581,8.52372257508748,7.95904656310151,6.50284192781215
70,Gabon,GAB,2000,10.7012157700646,8.93904888332251,7.40235179699587,6.13076153910502,5.14163396807304,4.29174416213812
71,"Gambia, The",GMB,2000,10.5831901119598,9.16220987376386,7.96271943070191,6.67853161943565,5.1980435868855,3.65159593452633
72,Georgia,GEO,2000,7.66512453394037,6.92563301683953,6.73798153649734,6.62957773155667,8.14052289874186,7.33153895258907
73,Germany,DEU,2000,5.33681975737686,5.31407058507195,5.87140024187168,7.84414138632072,8.31726329892026,7.33668326234302
74,Ghana,GHA,2000,11.6805476238765,9.59259934884462,7.34628389070337,6.13298179436101,5.7955726239345,4.86227885000843
75,Gibraltar,GIB,2000,6.38581090804432,6.26349114980573,6.65203626421068,7.10533889768312,7.3571736940567,6.9398474600662
76,Greece,GRC,2000,6.42918164572555,7.23821106951586,7.53887408273812,7.8594976389052,7.32511300818021,7.18974062398409
77,Greenland,GRL,2000,7.33321854253956,6.33836499646062,5.94042357802904,9.94662228089307,10.6487593028372,7.85169029443839
78,Grenada,GRD,2000,10.4960062925473,7.31883175863586,6.52383583193655,6.43394229958892,6.81786259399024,5.94982817225848
79,Guam,GUM,2000,8.12441057515207,7.83135961719823,8.37885222763034,8.21365503534967,7.94971929136101,6.75472963992076
80,Guatemala,GTM,2000,11.0979343047974,9.28056839778901,7.43794435722963,6.06502673448925,5.11201075918564,4.31053511498888
81,Guinea,GIN,2000,9.96850759148482,8.26368794957051,7.02325891665925,6.02670503254034,5.11329981208165,4.23685612418886
