,Country Name,Country Code,Year,Population_male,Population_female,Population_total
0,Afghanistan,AFG,2000,9815442,9727541,19542982
1,Albania,ALB,2000,1531486,1557540,3089027
2,Algeria,DZA,2000,15698203,15076418,30774621
3,American Samoa,ASM,2000,29657,28572,58230
4,Andorra,AND,2000,34285,31812,66097
5,Angola,AGO,2000,8054751,8339311,16394062
6,Antigua and Barbuda,ATG,2000,35307,39748,75055
7,Argentina,ARG,2000,18280746,18790028,37070774
8,Armenia,ARM,2000,1496293,1672231,3168523
9,Aruba,ABW,2000,42833,46269,89101
10,Australia,AUS,2000,9443035,9585767,19028802
11,Austria,AUT,2000,3874820,4136746,8011566
12,Azerbaijan,AZE,2000,3868986,4179613,8048600
13,"Bahamas, The",BHS,2000,158879,166136,325014
14,Bahrain,BHR,2000,419570,291872,711442
15,Bangladesh,BGD,2000,65883360,63309967,129193327
16,Barbados,BRB,2000,126860,137797,264657
17,Belarus,BLR,2000,4648837,5330773,9979610
18,Belgium,BEL,2000,5012963,5238286,10251250
19,Belize,BLZ,2000,121540,118866,240406
20,Benin,BEN,2000,3468525,3529498,6998023
21,Bermuda,BMU,2000,30126,31707,61833
22,Bhutan,BTN,2000,305835,281372,587207
23,Bolivia,BOL,2000,4339846,4252810,8592656
24,Bosnia and Herzegovina,BIH,2000,2038674,2140676,4179350
25,Botswana,BWA,2000,837941,889044,1726985
26,Brazil,BRA,2000,87124330,88749390,175873720
27,British Virgin Islands,VGB,2000,10327,9777,20104
28,Brunei Darussalam,BRN,2000,175917,158010,333926
29,Bulgaria,BGR,2000,3936609,4233564,8170172
30,Burkina Faso,BFA,2000,5850935,6031953,11882888
31,Burundi,BDI,2000,3105481,3202178,6307659
32,Cabo Verde,CPV,2000,222518,235732,458251
33,Cambodia,KHM,2000,5956510,6162331,12118841
34,Cameroon,CMR,2000,7488888,7602707,15091594
35,Canada,CAN,2000,15193559,15492171,30685730
36,Cayman Islands,CYM,2000,19468,20191,39658
37,Central African Republic,CAF,2000,1890780,1868390,3759170
38,Chad,TCD,2000,4111592,4147546,8259137
39,Channel Islands,CHI,2000,70420,74886,145306
40,Chile,CHL,2000,7627655,7724143,15351799
41,China,CHN,2000,645562937,617082063,1262645000
42,Colombia,COL,2000,19469885,19745251,39215135
43,Comoros,COM,2000,266733,270024,536758
44,"Congo, Dem. Rep.",COD,2000,24034091,24582226,48616317
45,"Congo, Rep.",COG,2000,1550503,1583527,3134030
46,Costa Rica,CRI,2000,2002605,1976587,3979193
47,Cote d'Ivoire,CIV,2000,8469483,8330187,16799670
48,Croatia,HRV,2000,2144720,2323582,4468302
49,Cuba,CUB,2000,5574842,5530949,11105791
50,Curacao,CUW,2000,62100,71759,133860
51,Cyprus,CYP,2000,478455,469782,948237
52,Czechia,CZE,2000,4992793,5262270,10255063
53,Denmark,DNK,2000,2639463,2700153,5339616
54,Djibouti,DJI,2000,368935,373098,742033
55,Dominica,DMA,2000,34133,34213,68346
56,Dominican Republic,DOM,2000,4323440,4217351,8540791
57,Ecuador,ECU,2000,6323386,6303121,12626507
58,"Egypt, Arab Rep.",EGY,2000,36137296,35234075,71371371
59,El Salvador,SLV,2000,2869807,3088675,5958482
60,Equatorial Guinea,GNQ,2000,345748,339229,684977
61,Eritrea,ERI,2000,1168024,1224856,2392880
62,Estonia,EST,2000,651122,745863,1396985
63,Eswatini,SWZ,2000,496570,533927,1030496
64,Ethiopia,ETH,2000,33605361,33426506,67031867
65,Faroe Islands,FRO,2000,23613,22047,45660
66,Fiji,FJI,2000,423305,409203,832509
67,Finland,FIN,2000,2526195,2650014,5176209
68,France,FRA,2000,29550671,31370713,60921384
69,French Polynesia,PYF,2000,129619,121308,250927
70,Gabon,GAB,2000,633381,639553,1272935
71,"Gambia, The",GMB,2000,709063,728476,1437539
72,Georgia,GEO,2000,1896863,2180268,4077131
73,Germany,DEU,2000,39980931,42230577,82211508
74,Ghana,GHA,2000,9759725,9905777,19665502
75,Gibraltar,GIB,2000,13844,13898,27741
76,Greece,GRC,2000,5383939,5421868,10805808
77,Greenland,GRL,2000,30058,26141,56200
78,Grenada,GRD,2000,54035,53397,107432
79,Guam,GUM,2000,81191,78996,160188
80,Guatemala,GTM,2000,5760216,5829545,11589761
81,Guinea,GIN,2000,4109599,4227368,8336967
82,Guinea-Bissau,GNB,2000,599950,630899,1230849
83,Guyana,GUY,2000,378495,380557,759051
84,Haiti,HTI,2000,4150198,4210027,8360225
85,Honduras,HND,2000,3364459,3292265,6656725
86,"Hong Kong SAR, China",HKG,2000,3284799,3380202,6665000
87,Hungary,HUN,2000,4859206,5351765,10210971
88,Iceland,ISL,2000,140748,140457,281205
89,India,IND,2000,548223581,511410095,1059633675
90,Indonesia,IDN,2000,107664942,106407480,214072421
91,"Iran, Islamic Rep.",IRN,2000,33235518,32308864,65544383
92,Iraq,IRQ,2000,12245808,12383050,24628858
93,Ireland,IRL,2000,1890633,1914541,3805174
94,Isle of Man,IMN,2000,36936,38626,75562
95,Israel,ISR,2000,3099279,3189721,6289000
96,Italy,ITA,2000,27550271,29391838,56942108
97,Jamaica,JAM,2000,1293403,1318802,2612205
98,Japan,JPN,2000,62126711,64716290,126843000
99,Jordan,JOR,2000,2625119,2431055,5056174
100,Kazakhstan,KAZ,2000,7086252,7797373,14883626
101,Kenya,KEN,2000,15293161,15558445,30851606
102,Kiribati,KIR,2000,43680,45145,88826
103,"Korea, Dem. People's Rep.",PRK,2000,11378028,11989032,23367059
104,"Korea, Rep.",KOR,2000,23622809,23385302,47008111
105,Kosovo,XKX,2000,872204,827796,1700000
106,Kuwait,KWT,2000,1132811,802091,1934901
107,Kyrgyz Republic,KGZ,2000,2386115,2512284,4898400
108,Lao PDR,LAO,2000,2725901,2704952,5430853
109,Latvia,LVA,2000,1080560,1286989,2367550
110,Lebanon,LBN,2000,2137718,2182925,4320642
111,Lesotho,LSO,2000,977454,1021176,1998630
112,Liberia,LBR,2000,1424909,1470314,2895224
113,Libya,LBY,2000,2712865,2441925,5154790
114,Liechtenstein,LIE,2000,16258,16768,33026
115,Lithuania,LTU,2000,1626157,1873378,3499536
116,Luxembourg,LUX,2000,215218,221082,436300
117,"Macao SAR, China",MAC,2000,207541,224355,431896
118,Madagascar,MDG,2000,8147724,8068707,16216431
119,Malawi,MWI,2000,5464600,5764787,11229387
120,Malaysia,MYS,2000,11631359,11313791,22945150
121,Maldives,MDV,2000,145914,136593,282507
122,Mali,MLI,2000,5670841,5568260,11239101
123,Malta,MLT,2000,193798,196289,390087
124,Marshall Islands,MHL,2000,27814,26410,54224
125,Mauritania,MRT,2000,1349905,1345099,2695003
126,Mauritius,MUS,2000,592881,593992,1186873
127,Mexico,MEX,2000,47900060,49973382,97873442
128,"Micronesia, Fed. Sts.",FSM,2000,56309,55399,111709
129,Moldova,MDA,2000,1384963,1539705,2924668
130,Monaco,MCO,2000,15791,16674,32465
131,Mongolia,MNG,2000,1216362,1234617,2450979
132,Montenegro,MNE,2000,293731,311220,604950
133,Morocco,MAR,2000,14279162,14275254,28554415
134,Mozambique,MOZ,2000,8655917,9112588,17768505
135,Myanmar,MMR,2000,22768081,22770251,45538332
136,Namibia,NAM,2000,880704,938437,1819141
137,Nauru,NRU,2000,5354,5023,10377
138,Nepal,NPL,2000,12397651,12161850,24559500
139,Netherlands,NLD,2000,7877546,8047967,15925513
140,New Caledonia,NCL,2000,108137,105093,213230
141,New Zealand,NZL,2000,1893809,1963891,3857700
142,Nicaragua,NIC,2000,2528472,2594751,5123222
143,Niger,NER,2000,5854008,5768657,11622665
144,Nigeria,NGA,2000,61748370,61103614,122851984
145,North Macedonia,MKD,2000,1019933,1006416,2026350
146,Northern Mariana Islands,MNP,2000,38212,42127,80338
147,Norway,NOR,2000,2224232,2266735,4490967
148,Oman,OMN,2000,1343767,1000486,2344253
149,Pakistan,PAK,2000,79746052,74623871,154369924
150,Palau,PLW,2000,10767,8959,19726
151,Panama,PAN,2000,1508117,1493614,3001731
152,Papua New Guinea,PNG,2000,2876874,2631423,5508297
153,Paraguay,PRY,2000,2589005,2534814,5123819
154,Peru,PER,2000,13290367,13364073,26654439
155,Philippines,PHL,2000,39394372,38563851,77958223
156,Poland,POL,2000,18574609,19684019,38258629
157,Portugal,PRT,2000,4962453,5327445,10289898
158,Puerto Rico,PRI,2000,1834657,1975948,3810605
159,Qatar,QAT,2000,433815,212122,645937
160,Romania,ROU,2000,10871696,11571276,22442971
161,Russian Federation,RUS,2000,68464819,78132050,146596869
162,Rwanda,RWA,2000,3904282,4205706,8109989
163,Samoa,WSM,2000,95721,88287,184008
164,San Marino,SMR,2000,13120,13702,26823
165,Sao Tome and Principe,STP,2000,71620,72094,143714
166,Saudi Arabia,SAU,2000,12317247,9230142,21547390
167,Senegal,SEN,2000,4786669,4917618,9704287
168,Serbia,SRB,2000,3628454,3887892,7516346
169,Seychelles,SYC,2000,40792,40339,81131
170,Sierra Leone,SLE,2000,2275881,2308186,4584067
171,Singapore,SGP,2000,2058118,1969770,4027887
172,Sint Maarten (Dutch part),SXM,2000,14902,15617,30519
173,Slovak Republic,SVK,2000,2618082,2770637,5388720
174,Slovenia,SVN,2000,967614,1021311,1988925
175,Solomon Islands,SLB,2000,222168,207810,429978
176,Somalia,SOM,2000,4358791,4362674,8721465
177,South Africa,ZAF,2000,22221377,24591889,46813266
178,South Sudan,SSD,2000,2965961,3148479,6114440
179,Spain,ESP,2000,19870967,20696897,40567864
180,Sri Lanka,LKA,2000,9346333,9430039,18776371
181,St. Kitts and Nevis,KNA,2000,22575,22887,45461
182,St. Lucia,LCA,2000,78831,80669,159500
183,St. Martin (French part),MAF,2000,14448,15161,29610
184,St. Vincent and the Grenadines,VCT,2000,58002,55810,113813
185,Sudan,SDN,2000,13231789,13066984,26298773
186,Suriname,SUR,2000,240845,238153,478998
187,Sweden,SWE,2000,4386578,4485532,8872109
188,Switzerland,CHE,2000,3510707,3673543,7184250
189,Syrian Arab Republic,SYR,2000,8251720,8055934,16307654
190,Tajikistan,TJK,2000,3079596,3193403,6272998
191,Tanzania,TZA,2000,17040809,17422895,34463704
192,Thailand,THA,2000,31072431,31994172,63066603
193,Timor-Leste,TLS,2000,451478,426881,878360
194,Togo,TGO,2000,2495124,2512911,5008035
195,Tonga,TON,2000,52142,50460,102603
196,Trinidad and Tobago,TTO,2000,659662,672541,1332203
197,Tunisia,TUN,2000,4960458,4932858,9893316
198,Turkiye,TUR,2000,32245997,31867550,64113547
199,Turkmenistan,TKM,2000,2249823,2319309,4569132
200,Turks and Caicos Islands,TCA,2000,9610,9134,18744
201,Tuvalu,TUV,2000,4769,4869,9638
202,Uganda,UGA,2000,11750782,12269915,24020697
203,Ukraine,UKR,2000,22773527,26402974,49176500
204,United Arab Emirates,ARE,2000,2237588,1037745,3275333
205,United Kingdom,GBR,2000,28695232,30197282,58892514
206,United States,USA,2000,138910694,143251716,282162411
207,Uruguay,URY,2000,1594941,1697283,3292224
208,Uzbekistan,UZB,2000,12329367,12321034,24650400
209,Vanuatu,VUT,2000,97832,94242,192074
210,"Venezuela, RB",VEN,2000,12241951,12185778,24427729
211,Viet Nam,VNM,2000,38652066,40349076,79001142
212,Virgin Islands (U.S.),VIR,2000,51887,56755,108642
213,West Bank and Gaza,PSE,2000,1471744,1450409,2922153
214,"Yemen, Rep.",YEM,2000,9391539,9237162,18628700
215,Zambia,ZMB,2000,4762771,5128364,9891136
216,Zimbabwe,ZWE,2000,5621605,6213071,11834676
217,Africa Eastern and Southern,AFE,2000,197551972,204048614,401600588
218,Africa Western and Central,AFW,2000,134816397,134795501,269611898
219,Arab World,ARB,2000,147372583,139693402,287065982
220,Caribbean small states,CSS,2000,3262567,3319576,6582141
221,Central Europe and the Baltics,CEB,2000,52323168,56124654,108447824
222,Early-demographic dividend,EAR,2000,1273338151,1225868818,2499206970
223,East Asia & Pacific,EAS,2000,1036946673,1011202023,2048148696
224,East Asia & Pacific (excluding high income),EAP,2000,922385848,894620704,1817006555
225,East Asia & Pacific (IDA & IBRD countries),TEA,2000,911013174,882636695,1793649873
226,Euro area,EMU,2000,156312395,165012223,321324622
227,Europe & Central Asia,ECS,2000,416645435,446140773,862786211
228,Europe & Central Asia (excluding high income),ECA,2000,177232529,193413671,370646199
229,Europe & Central Asia (IDA & IBRD countries),TEC,2000,208823554,226992548,435816101
230,European Union,EUU,2000,208718069,220624384,429342455
231,Fragile and conflict affected situations,FCS,2000,304367129,308260942,612628069
232,Heavily indebted poor countries (HIPC),HPC,2000,236012067,239115828,475127894
233,High income,HIC,2000,543499500,558640139,1102139639
234,IBRD only,IBD,2000,2011346424,1969016145,3980362565
235,IDA & IBRD total,IBT,2000,2570379920,2523525835,5093905754
236,IDA blend,IDB,2000,187977122,182933597,370910722
237,IDA only,IDX,2000,371056374,371576093,742632467
238,IDA total,IDA,2000,559033496,554509690,1113543189
239,Late-demographic dividend,LTE,2000,1028676542,1017349509,2046026051
240,Latin America & Caribbean,LCN,2000,258187127,263094024,521281149
241,Latin America & Caribbean (excluding high income),LAC,2000,231772453,236352929,468125382
242,Latin America & the Caribbean (IDA & IBRD countries),TLA,2000,250266314,255038531,505304844
243,Least developed countries: UN classification,LDC,2000,330650269,331367901,662018171
244,Low & middle income,LMY,2000,2533098660,2484655435,5017754094
245,Low income,LIC,2000,190112615,192480867,382593480
246,Lower middle income,LMC,2000,1150393814,1109485988,2259879800
247,Middle East & North Africa,MEA,2000,164693960,156343495,321037453
248,Middle East & North Africa (excluding high income),MNA,2000,143516085,140383027,283899110
249,Middle East & North Africa (IDA & IBRD countries),TMN,2000,142044341,138932618,280976957
250,Middle income,MIC,2000,2342986045,2292174568,4635160614
251,North America,NAC,2000,154134379,158775594,312909974
252,Not classified,INX,2000,..,..,..
253,OECD members,OED,2000,589199808,610979679,1200179492
254,Other small states,OSS,2000,10747793,10690183,21437978
255,Pacific island small states,PSS,2000,1039861,995807,2035672
256,Post-demographic dividend,PST,2000,498922205,521871218,1020793420
257,Pre-demographic dividend,PRE,2000,275014886,278074344,553089230
258,Small states,SST,2000,15050221,15005566,30055791
259,South Asia,SAS,2000,725864168,681081328,1406945493
260,South Asia (IDA & IBRD),TSA,2000,725864168,681081328,1406945493
261,Sub-Saharan Africa,SSF,2000,332368369,338844115,671212486
262,Sub-Saharan Africa (excluding high income),SSA,2000,332327577,338803776,671131355
263,Sub-Saharan Africa (IDA & IBRD countries),TSS,2000,332368369,338844115,671212486
264,Upper middle income,UMC,2000,1192592231,1182688580,2375280814
265,World,WLD,2000,3088840111,3055481352,6144321462
266,Afghanistan,AFG,2001,9895467,9793166,19688632
267,Albania,ALB,2001,1516640,1543533,3060173
268,Algeria,DZA,2001,15912853,15288132,31200985
269,American Samoa,ASM,2001,29674,28649,58324
270,Andorra,AND,2001,35151,32669,67820
271,Angola,AGO,2001,8322504,8619083,16941587
272,Antigua and Barbuda,ATG,2001,35831,40383,76215
273,Argentina,ARG,2001,18484124,18996369,37480493
274,Armenia,ARM,2001,1477059,1656074,3133133
275,Aruba,ABW,2001,43513,47178,90691
276,Australia,AUS,2001,9563615,9711085,19274701
277,Austria,AUT,2001,3894335,4147958,8042293
278,Azerbaijan,AZE,2001,3904764,4206436,8111200
279,"Bahamas, The",BHS,2001,160964,168662,329626
280,Bahrain,BHR,2001,431149,299108,730257
281,Bangladesh,BGD,2001,67083138,64587346,131670484
282,Barbados,BRB,2001,127156,138220,265377
283,Belarus,BLR,2001,4623156,5305393,9928549
284,Belgium,BEL,2001,5030684,5255887,10286570
285,Belize,BLZ,2001,125328,122772,248100
286,Benin,BEN,2001,3576763,3635278,7212041
287,Bermuda,BMU,2001,30434,32069,62504
288,Bhutan,BTN,2001,315896,287339,603234
289,Bolivia,BOL,2001,4418319,4327765,8746084
290,Bosnia and Herzegovina,BIH,2001,2046480,2148452,4194932
291,Botswana,BWA,2001,855998,905932,1761930
292,Brazil,BRA,2001,88233218,89978663,178211881
293,British Virgin Islands,VGB,2001,10588,10069,20657
294,Brunei Darussalam,BRN,2001,179279,161470,340748
295,Bulgaria,BGR,2001,3857899,4151243,8009142
296,Burkina Faso,BFA,2001,6038895,6210869,12249764
297,Burundi,BDI,2001,3183686,3282043,6465729
298,Cabo Verde,CPV,2001,227001,238957,465958
299,Cambodia,KHM,2001,6069095,6269097,12338192
300,Cameroon,CMR,2001,7689826,7803427,15493253
301,Canada,CAN,2001,15366067,15654835,31020902
302,Cayman Islands,CYM,2001,20176,20878,41054
303,Central African Republic,CAF,2001,1932553,1912220,3844773
304,Chad,TCD,2001,4253942,4284862,8538804
305,Channel Islands,CHI,2001,70848,75196,146044
306,Chile,CHL,2001,7711571,7812408,15523978
307,China,CHN,2001,650413443,621436557,1271850000
308,Colombia,COL,2001,19769644,20068231,39837875
309,Comoros,COM,2001,272077,275663,547741
310,"Congo, Dem. Rep.",COD,2001,24773047,25333610,50106657
311,"Congo, Rep.",COG,2001,1611459,1642642,3254101
312,Costa Rica,CRI,2001,2039504,2013719,4053222
313,Cote d'Ivoire,CIV,2001,8688294,8557174,17245468
314,Croatia,HRV,2001,2061946,2237696,4299642
315,Cuba,CUB,2001,5585454,5553672,11139127
316,Curacao,CUW,2001,59750,69297,129047
317,Cyprus,CYP,2001,486510,478320,964830
318,Czechia,CZE,2001,4976754,5239852,10216605
319,Denmark,DNK,2001,2649869,2708914,5358783
320,Djibouti,DJI,2001,380707,384784,765490
321,Dominica,DMA,2001,34059,34093,68153
322,Dominican Republic,DOM,2001,4397423,4271617,8669040
323,Ecuador,ECU,2001,6432559,6412962,12845521
324,"Egypt, Arab Rep.",EGY,2001,36896146,35958115,72854261
325,El Salvador,SLV,2001,2881789,3106305,5988095
326,Equatorial Guinea,GNQ,2001,364688,354582,719270
327,Eritrea,ERI,2001,1202597,1259330,2461927
328,Estonia,EST,2001,646722,741392,1388115
329,Eswatini,SWZ,2001,501668,539728,1041396
330,Ethiopia,ETH,2001,34630056,34388876,69018932
331,Faroe Islands,FRO,2001,23924,22322,46245
332,Fiji,FJI,2001,427971,413349,841320
333,Finland,FIN,2001,2533485,2654524,5188008
334,France,FRA,2001,29761295,31606094,61367388
335,French Polynesia,PYF,2001,131568,123481,255049
336,Gabon,GAB,2001,650791,655799,1306590
337,"Gambia, The",GMB,2001,729172,750278,1479449
338,Georgia,GEO,2001,1865663,2148711,4014373
339,Germany,DEU,2001,40049852,42300074,82349925
340,Ghana,GHA,2001,10028005,10167572,20195577
341,Gibraltar,GIB,2001,13790,13931,27721
342,Greece,GRC,2001,5411473,5450658,10862132
343,Greenland,GRL,2001,30118,26232,56350
344,Grenada,GRD,2001,54340,53596,107936
345,Guam,GUM,2001,81879,79644,161524
346,Guatemala,GTM,2001,5898649,5972917,11871565
347,Guinea,GIN,2001,4150573,4295144,8445717
348,Guinea-Bissau,GNB,2001,613138,644242,1257380
349,Guyana,GUY,2001,379218,380591,759809
350,Haiti,HTI,2001,4226169,4285558,8511728
351,Honduras,HND,2001,3456257,3381604,6837861
352,"Hong Kong SAR, China",HKG,2001,3294798,3419501,6714300
353,Hungary,HUN,2001,4844925,5342651,10187576
354,Iceland,ISL,2001,142645,142323,284968
355,India,IND,2001,558291332,520679574,1078970907
356,Indonesia,IDN,2001,109210886,107901551,217112437
357,"Iran, Islamic Rep.",IRN,2001,33786412,32888440,66674851
358,Iraq,IRQ,2001,12649980,12775683,25425663
359,Ireland,IRL,2001,1921225,1945018,3866243
360,Isle of Man,IMN,2001,37423,38974,76398
361,Israel,ISR,2001,3174306,3264694,6439000
362,Italy,ITA,2001,27563815,29410285,56974100
363,Jamaica,JAM,2001,1300463,1324943,2625405
364,Japan,JPN,2001,62241801,64907199,127149000
365,Jordan,JOR,2001,2675503,2487807,5163310
366,Kazakhstan,KAZ,2001,7069936,7788399,14858335
367,Kenya,KEN,2001,15769661,16030683,31800343
368,Kiribati,KIR,2001,44473,46058,90531
369,"Korea, Dem. People's Rep.",PRK,2001,11455522,12057001,23512522
370,"Korea, Rep.",KOR,2001,23792460,23577705,47370164
371,Kosovo,XKX,2001,872055,829099,1701154
372,Kuwait,KWT,2001,1169112,822562,1991674
373,Kyrgyz Republic,KGZ,2001,2409887,2535213,4945100
374,Lao PDR,LAO,2001,2770704,2749003,5519707
375,Latvia,LVA,2001,1066061,1271110,2337170
376,Lebanon,LBN,2001,2172579,2216621,4389200
377,Lesotho,LSO,2001,977846,1021628,1999473
378,Liberia,LBR,2001,1467915,1513734,2981648
379,Libya,LBY,2001,2757499,2518416,5275916
380,Liechtenstein,LIE,2001,16424,16951,33376
381,Lithuania,LTU,2001,1610286,1860532,3470818
382,Luxembourg,LUX,2001,217664,223861,441525
383,"Macao SAR, China",MAC,2001,210775,228346,439122
384,Madagascar,MDG,2001,8395887,8313779,16709665
385,Malawi,MWI,2001,5587759,5911060,11498818
386,Malaysia,MYS,2001,11961265,11581251,23542517
387,Maldives,MDV,2001,148364,138959,287324
388,Mali,MLI,2001,5847171,5736653,11583824
389,Malta,MLT,2001,195236,197793,393028
390,Marshall Islands,MHL,2001,27906,26508,54413
391,Mauritania,MRT,2001,1381929,1379893,2761823
392,Mauritius,MUS,2001,597137,599151,1196287
393,Mexico,MEX,2001,48635540,50758748,99394288
394,"Micronesia, Fed. Sts.",FSM,2001,56446,55503,111948
395,Moldova,MDA,2001,1382129,1536007,2918135
396,Monaco,MCO,2001,15791,16652,32444
397,Mongolia,MNG,2001,1228209,1244391,2472601
398,Montenegro,MNE,2001,294678,312711,607389
399,Morocco,MAR,2001,14473530,14456567,28930097
400,Mozambique,MOZ,2001,8872203,9348513,18220716
401,Myanmar,MMR,2001,22998986,23015840,46014826
402,Namibia,NAM,2001,898800,957602,1856402
403,Nauru,NRU,2001,5349,5013,10363
404,Nepal,NPL,2001,12576001,12380071,24956071
405,Netherlands,NLD,2001,7938421,8107759,16046180
406,New Caledonia,NCL,2001,110022,107302,217324
407,New Zealand,NZL,2001,1903542,1976957,3880500
408,Nicaragua,NIC,2001,2561907,2630858,5192764
409,Niger,NER,2001,6064010,5967421,12031430
410,Nigeria,NGA,2001,63420738,62731941,126152678
411,North Macedonia,MKD,2001,1021064,1013819,2034882
412,Northern Mariana Islands,MNP,2001,38008,41471,79479
413,Norway,NOR,2001,2236622,2277129,4513751
414,Oman,OMN,2001,1356102,1018552,2374653
415,Pakistan,PAK,2001,82212668,77005059,159217727
416,Palau,PLW,2001,10804,9024,19828
417,Panama,PAN,2001,1537633,1523390,3061024
418,Papua New Guinea,PNG,2001,2974119,2724370,5698489
419,Paraguay,PRY,2001,2632691,2578849,5211541
420,Peru,PER,2001,13472595,13542313,27014909
421,Philippines,PHL,2001,40249236,39376849,79626086
422,Poland,POL,2001,18585200,19662876,38248076
423,Portugal,PRT,2001,4999948,5362775,10362722
424,Puerto Rico,PRI,2001,1837888,1980886,3818774
425,Qatar,QAT,2001,456796,222035,678831
426,Romania,ROU,2001,10711158,11420812,22131970
427,Russian Federation,RUS,2001,68107925,77868557,145976482
428,Rwanda,RWA,2001,3949825,4274117,8223941
429,Samoa,WSM,2001,96420,89110,185530
430,San Marino,SMR,2001,13378,13957,27335
431,Sao Tome and Principe,STP,2001,72901,73356,146258
432,Saudi Arabia,SAU,2001,12623833,9462097,22085929
433,Senegal,SEN,2001,4899113,5038914,9938027
434,Serbia,SRB,2001,3620295,3883138,7503433
435,Seychelles,SYC,2001,40908,40294,81202
436,Sierra Leone,SLE,2001,2412807,2444289,4857096
437,Singapore,SGP,2001,2110833,2027180,4138012
438,Sint Maarten (Dutch part),SXM,2001,14909,15692,30600
439,Slovak Republic,SVK,2001,2612748,2766118,5378867
440,Slovenia,SVN,2001,969849,1022211,1992060
441,Solomon Islands,SLB,2001,227319,213076,440395
442,Somalia,SOM,2001,4535229,4535518,9070747
443,South Africa,ZAF,2001,22447806,24781908,47229714
444,South Sudan,SSD,2001,3107655,3286776,6394431
445,Spain,ESP,2001,20010746,20839665,40850412
446,Sri Lanka,LKA,2001,9400695,9519579,18920275
447,St. Kitts and Nevis,KNA,2001,22855,23130,45986
448,St. Lucia,LCA,2001,79395,81198,160594
449,St. Martin (French part),MAF,2001,14777,15610,30387
450,St. Vincent and the Grenadines,VCT,2001,57941,55700,113641
451,Sudan,SDN,2001,13550233,13397021,26947253
452,Suriname,SUR,2001,245436,241957,487394
453,Sweden,SWE,2001,4400543,4495417,8895960
454,Switzerland,CHE,2001,3533011,3696843,7229854
455,Syrian Arab Republic,SYR,2001,8461998,8265950,16727948
456,Tajikistan,TJK,2001,3150466,3258343,6408810
457,Tanzania,TZA,2001,17511199,17903270,35414469
458,Thailand,THA,2001,31347349,32302543,63649892
459,Timor-Leste,TLS,2001,458490,434512,893001
460,Togo,TGO,2001,2564478,2580948,5145426
461,Tonga,TON,2001,52427,50782,103210
462,Trinidad and Tobago,TTO,2001,662692,675875,1338567
463,Tunisia,TUN,2001,5007338,4987785,9995123
464,Turkiye,TUR,2001,32724349,32347670,65072018
465,Turkmenistan,TKM,2001,2282951,2352143,4635094
466,Turks and Caicos Islands,TCA,2001,10041,9537,19578
467,Tuvalu,TUV,2001,4777,4845,9621
468,Uganda,UGA,2001,12118958,12644368,24763325
469,Ukraine,UKR,2001,22518464,26143936,48662400
470,United Arab Emirates,ARE,2001,2363814,1090383,3454198
471,United Kingdom,GBR,2001,28822894,30296779,59119673
472,United States,USA,2001,140343133,144625822,284968955
473,Uruguay,URY,2001,1597570,1703369,3300939
474,Uzbekistan,UZB,2001,12480030,12484420,24964450
475,Vanuatu,VUT,2001,100260,96774,197034
476,"Venezuela, RB",VEN,2001,12463799,12416404,24880203
477,Viet Nam,VNM,2001,39078656,40739120,79817777
478,Virgin Islands (U.S.),VIR,2001,51805,56744,108549
479,West Bank and Gaza,PSE,2001,1508534,1489250,2997784
480,"Yemen, Rep.",YEM,2001,9655431,9488026,19143457
481,Zambia,ZMB,2001,4915581,5276383,10191964
482,Zimbabwe,ZWE,2001,5653006,6257972,11910978
483,Africa Eastern and Southern,AFE,2001,202744227,209257664,412001885
484,Africa Western and Central,AFW,2001,138613261,138546839,277160097
485,Arab World,ARB,2001,150692372,142819968,293512340
486,Caribbean small states,CSS,2001,3285678,3341120,6626803
487,Central Europe and the Baltics,CEB,2001,51943548,55716493,107660041
488,Early-demographic dividend,EAR,2001,1297125297,1248717831,2545843129
489,East Asia & Pacific,EAS,2001,1046374444,1020155575,2066530023
490,East Asia & Pacific (excluding high income),EAP,2001,931264763,902837114,1834101877
491,East Asia & Pacific (IDA & IBRD countries),TEA,2001,919814590,890785126,1810599718
492,Euro area,EMU,2001,156920355,165642034,322562386
493,Europe & Central Asia,ECS,2001,417173423,446735714,863909133
494,Europe & Central Asia (excluding high income),ECA,2001,177225890,193513297,370739184
495,Europe & Central Asia (IDA & IBRD countries),TEC,2001,208584194,226834681,435418872
496,European Union,EUU,2001,209008649,220901495,429910140
497,Fragile and conflict affected situations,FCS,2001,311298913,315115776,626414685
498,Heavily indebted poor countries (HIPC),HPC,2001,242458618,245582009,488040621
499,High income,HIC,2001,546907041,561963041,1108870086
500,IBRD only,IBD,2001,2035479658,1991948213,4027427875
501,IDA & IBRD total,IBT,2001,2608358328,2560348016,5168706338
502,IDA blend,IDB,2001,193150704,187991919,381142622
503,IDA only,IDX,2001,379727966,380407884,760135841
504,IDA total,IDA,2001,572878670,568399803,1141278463
505,Late-demographic dividend,LTE,2001,1036220869,1024488372,2060709239
506,Latin America & Caribbean,LCN,2001,261785540,266902732,528688278
507,Latin America & Caribbean (excluding high income),LAC,2001,235022804,239794409,474817217
508,Latin America & the Caribbean (IDA & IBRD countries),TLA,2001,253848519,258816287,512664811
509,Least developed countries: UN classification,LDC,2001,338618355,339477860,678096204
510,Low & middle income,LMY,2001,2571092108,2521505698,5092597797
